nr. sessions,nr. rest days,total kms,total km Z3-Z4-Z5-T1-T2,"nr. tough sessions (effort in Z5, T1 or T2)",nr. days with interval session,total km Z3-4,max km Z3-4 one day,total km Z5-T1-T2,max km Z5-T1-T2 one day,total hours alternative training,nr. strength trainings,nr. sessions.1,nr. rest days.1,total kms.1,max km one day.1,total km Z3-Z4-Z5-T1-T2.1,"nr. tough sessions (effort in Z5, T1 or T2).1",nr. days with interval session.1,total km Z3-4.1,max km Z3-4 one day.1,total km Z5-T1-T2.1,max km Z5-T1-T2 one day.1,total hours alternative training.1,nr. strength trainings.1,nr. sessions.2,nr. rest days.2,total kms.2,max km one day.2,total km Z3-Z4-Z5-T1-T2.2,"nr. tough sessions (effort in Z5, T1 or T2).2",nr. days with interval session.2,total km Z3-4.2,max km Z3-4 one day.2,total km Z5-T1-T2.2,max km Z5-T1-T2 one day.2,total hours alternative training.2,nr. strength trainings.2,Athlete ID,Date
8.0,0.0,163.7,38.7,0.0,3.0,37.0,18.0,0.0,0.0,0.0,0.0,9.0,0.0,170.9,29.0,32.4,0.0,2.0,32.0,20.0,0.0,0.0,0.0,0.0,9.0,0.0,164.9,35.0,17.5,0.0,2.0,16.0,12.0,0.0,0.0,0.0,0.0,1,229
11.0,0.0,217.3,35.3,0.0,3.0,34.0,14.0,0.0,0.0,0.0,0.0,6.0,1.0,114.9,23.3,31.9,1.0,3.0,25.0,15.0,6.0,6.0,0.0,0.0,7.0,1.0,121.3,34.5,17.8,1.0,3.0,16.0,10.0,1.0,1.0,0.0,0.0,1,312
8.0,0.0,173.6,31.6,1.0,3.0,24.0,14.0,6.0,6.0,0.0,0.0,5.0,2.0,72.1,21.3,22.6,1.0,3.0,21.0,15.0,1.0,1.0,0.0,0.0,8.0,0.0,143.5,34.5,20.5,1.0,3.0,15.4,10.0,4.0,4.0,0.0,0.0,1,309
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,92
6.0,1.0,141.3,12.3,2.0,2.0,0.0,0.0,12.0,6.0,0.0,0.0,10.0,0.0,187.3,35.0,38.3,0.0,4.0,38.0,12.0,0.0,0.0,0.75,0.0,11.0,0.0,195.3,36.0,31.3,2.0,3.0,12.0,12.0,19.0,10.0,0.75,0.0,1,18
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,145
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,158
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,150
7.0,0.0,103.6,22.6,2.0,2.0,12.0,12.0,10.0,6.0,0.0,0.0,8.0,0.0,159.1,29.0,22.1,0.0,3.0,21.8,9.0,0.0,0.0,0.0,0.0,8.0,0.0,160.6,30.3,40.6,0.0,3.0,40.0,20.0,0.0,0.0,0.0,0.0,1,246
5.0,2.0,106.9,17.5,0.0,2.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,213
10.0,0.0,174.8,10.3,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,4.0,3.0,94.0,38.0,9.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,202.0,38.0,26.0,1.0,3.0,20.0,11.0,6.0,6.0,0.0,0.0,1,348
7.0,0.0,106.3,25.3,2.0,2.0,18.0,12.0,7.0,4.0,0.0,0.0,8.0,0.0,156.4,29.0,19.4,1.0,3.0,12.8,6.8,6.0,6.0,0.0,0.0,8.0,0.0,157.3,30.3,39.3,0.0,3.0,39.0,20.0,0.0,0.0,0.0,0.0,1,247
8.0,0.0,130.0,27.0,0.0,2.0,27.0,21.0,0.0,0.0,0.0,0.0,8.0,0.0,181.3,32.0,31.3,1.0,4.0,24.0,18.0,7.0,7.0,0.0,0.0,9.0,0.0,207.1,41.0,58.1,1.0,4.0,49.5,19.5,8.0,8.0,0.0,1.0,1,66
10.0,0.0,168.0,45.5,1.0,5.0,36.0,10.0,8.0,8.0,0.0,0.0,10.0,0.0,175.3,34.0,26.3,2.0,3.0,9.0,9.0,16.2,10.0,0.0,0.0,6.0,1.0,82.9,16.0,10.9,2.0,2.0,3.6,3.6,6.4,4.0,0.0,0.0,1,287
9.0,0.0,150.0,14.0,1.0,2.0,8.0,8.0,6.0,6.0,0.0,0.0,11.0,0.0,181.0,38.0,22.0,2.0,2.0,0.0,0.0,22.0,12.0,0.0,0.0,11.0,0.0,209.0,42.0,27.0,1.0,2.0,10.0,10.0,17.0,17.0,0.0,0.0,1,707
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,140
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,101
7.0,1.0,112.4,27.4,0.0,2.0,27.1,21.1,0.0,0.0,0.0,0.0,6.0,2.0,111.0,30.0,9.0,0.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,163.8,35.5,10.3,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,1,361
7.0,0.0,111.6,22.6,2.0,2.0,12.0,12.0,10.0,6.0,0.0,0.0,8.0,0.0,160.1,29.0,22.1,0.0,3.0,21.8,9.0,0.0,0.0,0.0,0.0,8.0,0.0,156.6,30.3,40.6,0.0,3.0,40.0,20.0,0.0,0.0,0.0,0.0,1,245
10.0,0.0,173.1,41.5,0.0,3.0,41.0,17.0,0.0,0.0,0.0,0.0,11.0,0.0,174.3,35.0,18.3,0.0,2.0,17.0,10.0,0.0,0.0,0.0,0.0,10.0,1.0,153.5,36.0,6.5,0.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,1,379
7.0,1.0,148.0,14.0,1.0,2.0,8.0,8.0,6.0,6.0,0.75,0.0,10.0,0.0,183.6,35.0,39.6,1.0,4.0,30.0,12.0,9.0,9.0,0.75,0.0,10.0,0.0,196.3,36.0,32.3,2.0,3.0,12.0,12.0,20.0,10.0,0.0,0.0,1,17
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,146
8.0,1.0,116.1,13.1,2.0,2.0,3.6,3.6,8.6,6.2,0.0,0.0,8.0,0.0,94.0,17.0,12.5,2.0,3.0,1.5,1.5,10.4,6.4,0.0,0.0,8.0,0.0,151.2,29.7,20.2,2.0,3.0,11.0,9.0,8.2,7.2,0.0,0.0,1,276
10.0,0.0,183.6,28.1,2.0,3.0,9.0,9.0,18.0,10.0,0.0,0.0,8.0,1.0,116.1,34.0,13.1,2.0,2.0,3.6,3.6,8.6,6.2,0.0,0.0,8.0,0.0,94.0,17.0,12.5,2.0,3.0,1.5,1.5,10.4,6.4,0.0,0.0,1,283
10.0,1.0,190.0,28.0,2.0,3.0,20.0,13.0,8.0,6.0,0.75,1.0,7.0,0.0,113.6,30.0,28.6,3.0,3.0,0.0,0.0,28.0,12.0,0.0,0.0,7.0,1.0,141.0,38.0,14.0,1.0,2.0,8.0,8.0,6.0,6.0,0.75,0.0,1,30
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,114
7.0,1.0,135.0,8.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,9.0,0.0,196.0,35.0,48.0,1.0,4.0,42.0,18.0,6.0,6.0,0.0,0.0,10.0,0.0,170.6,34.0,45.1,1.0,3.0,38.1,21.1,7.0,7.0,0.0,0.0,1,741
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,103
9.0,0.0,145.2,18.7,1.0,3.0,10.5,9.0,7.2,7.2,0.0,0.0,7.0,1.0,111.6,37.0,9.6,2.0,2.0,2.0,2.0,7.0,6.0,0.0,0.0,7.0,0.0,113.3,24.3,30.3,4.0,4.0,18.0,12.0,12.0,4.0,0.0,0.0,1,264
10.0,0.0,172.0,30.0,2.0,3.0,8.0,8.0,22.0,12.0,0.0,0.0,11.0,0.0,200.0,38.0,27.0,1.0,2.0,10.0,10.0,17.0,17.0,0.0,0.0,11.0,0.0,199.7,44.0,23.6,0.0,2.0,23.6,14.0,0.0,0.0,0.5,0.0,1,702
